"PC3"	"DU145"	"LNCaP"	"22Rv"	"WPMY1"	"VCaP"	"MDAPCa2b"	"HPV7"	"HPV10"	"RWPE1"	"RWPE2"	"NB11"	"W99"	"PWR1E"	"DUCaP"	"NB26"
"10594"	9.19532693480224	10.0121057011805	9.87491952880577	10.0734929365253	10.0507238013045	10.2797078796345	9.41631080587303	9.08327526084622	9.3877906115347	9.34619794810219	9.50962841457114	9.22154847257525	9.61812396000438	9.88825180942093	10.7930397858101	9.25854674748606
"826"	10.9519951905728	11.3407380631383	11.4768322675552	11.5296660324991	10.9587114143575	11.9282015827311	11.6484339938867	11.2414674473749	11.18432215488	11.0907627468284	11.4317954959615	11.4923018178992	11.201106607999	10.6091337304495	11.0477822882734	11.5515004150462
"11224"	12.4387954310178	13.0359675003031	13.2094935622354	13.113250684417	13.1527164928842	13.3336286489268	12.9494244056582	12.7522219069074	12.8669008801356	13.1925510081422	12.3484031785951	13.1511008687436	12.9027705190218	13.0526429341365	13.1484813791671	12.7354549130146
"6158"	10.4696853222616	10.3581093524511	10.8467800327997	10.9204315871854	11.0246581919847	11.3559727103041	10.1089063089189	10.3578147419888	10.4163692825996	9.90931649505728	9.89176714303681	10.0444067138616	10.3249855069963	10.822452057767	10.7510582298456	9.64823647068733
"1982"	8.0525160555842	7.78005727497164	7.93133651694507	7.66911443498092	8.05545346222081	7.80011332167284	7.71167853869298	7.89579192415091	7.82204409341732	7.90182557170408	7.87413894532049	7.9450242460782	8.08391410746357	7.52840575953086	8.06715340248327	8.20108099168083
"8664"	10.3505357224509	10.5710574414415	10.7919587564489	10.7777253728186	10.6649046981004	11.2359890609962	10.4305529837038	10.4936681726136	10.0672964030751	10.4884191441709	10.429610082447	9.93558375707587	10.7350724114401	11.3993520449304	10.4749554019398	9.43629912529152
"11315"	12.2704695032125	11.9206043850353	12.6806890356997	12.3793685545028	12.1123860343133	12.5364676772358	12.4771336819158	11.5663824146762	11.741275910398	11.7574032976404	11.5278651676517	12.017276581519	12.2041763333702	12.1572163580163	12.2278817638465	11.6697789548922
"6727"	12.5120632934261	12.4188067267563	12.5995407137576	12.3144154785218	11.6116145498406	12.2789843991421	12.3188890024468	11.9052781638398	12.1160380431766	12.5478354312812	12.6194195314393	12.2378917009928	12.5191829260146	12.3145902645652	12.1262516785191	12.3099331693635
"2665"	11.0680805817565	11.1365001583073	11.2935457072443	10.9721388368249	10.9214288360189	11.3873732307151	11.0354820427498	10.7426952045556	10.5582866131719	11.1201950737696	10.9165969147239	11.3314987621098	11.0279125663764	11.1620500003203	11.1634120640253	11.3391994922313
"6135"	12.3965157049605	12.6370595431934	12.4844533631331	12.6379000415529	12.8881008889408	13.1684748399586	12.8235921815034	12.5783514972039	12.6384881921343	12.5967030403628	12.3027016621036	12.6800557556172	12.7487133255917	13.1172750985802	12.8336677826544	12.3650360635245
"377"	9.30325369970251	9.07725728522572	9.53408750740465	9.01875006312237	9.57059170740728	8.99126331415036	8.77007410728553	9.2704683741646	9.21196406679337	9.26254727891733	9.28353612556625	9.56633888772512	9.88076451024913	8.69451622731991	9.02167064257485	9.63097937286418
"6144"	13.6070320571621	13.518682710093	13.5152882681399	13.680487080981	13.3798920761022	13.8861030668342	13.5598780615937	13.4874514969354	13.4883352260069	13.344171091762	13.2989215563965	13.5010880789429	13.5475920299291	13.5748414722992	13.3975947660116	13.1726606102517
"6152"	13.2934614842287	12.8550251935138	13.3646060910503	13.2527812210237	13.4248652598414	13.3831434315062	13.1220921528507	13.0340897404508	12.9257065432647	12.9858349156392	12.7417888876259	13.210622101084	13.0452324031006	13.0422171589105	13.0929763725061	12.9749182472921
"3183"	11.2489953455883	11.5051947978812	11.160643043488	11.8300724248377	11.403759431549	11.2756461127772	11.0487157152872	10.9214727865477	11.0177018521453	11.0527771351745	10.3867423237933	11.2026834597202	11.0645072728594	11.2404100225911	10.8539515826017	10.8152933549786
"4735"	10.9971294674225	11.4329920420798	10.798584740558	10.8027005766816	11.3216318707041	10.993445023013	10.9190814789597	10.751815566674	10.9010411964631	11.0140039217669	11.0897943322271	10.9563394527344	11.0229140725605	11.1113180868821	10.0106436997465	10.9458440436972
"3178"	11.712902086779	12.5799985756162	12.1598310899877	12.3664934766239	12.0231904495752	12.4800608872256	11.9751716278164	11.6857693161837	11.8368556531805	11.8475652120956	11.6940412977309	11.7063242258438	11.7907902428913	12.2322951250797	12.4545214941759	11.6454062200829
