6224	0.984	6187	84	10
6224	0.95	7316	84	322
6224	0.992	6122	84	53
6224	0.997	6157	84	62
6224	0.999	6133	84	72
6224	0.995	6176	84	51
6224	0.996	6218	84	48
6224	0.979	6146	84	49
6224	0.996	6204	84	53
6224	0.973	2107	84	28
6224	0.963	79590	84	11
6224	0.995	6136	84	58
6224	0.959	6232	84	3
6224	0.989	6125	84	70
6224	0.985	6130	84	65
6224	0.983	51021	84	15
6224	0.979	8668	84	51
6224	0.981	4736	84	15
6224	0.999	6135	84	103
6224	0.957	8894	84	38
6224	0.997	6194	84	81
6224	0.989	51069	84	22
6224	0.961	23521	84	14
6224	0.999	9349	84	94
6224	0.999	6235	84	65
6224	0.998	6202	84	61
6224	0.992	6160	84	55
6224	0.984	7311	84	99
6224	0.97	6222	84	7
6224	0.996	6165	84	56
6224	0.995	6234	84	50
6224	0.975	6158	84	46
6224	0.994	6229	84	56
6224	0.996	6168	84	56
6224	0.987	85476	84	15
6224	0.991	63931	84	17
80342	0.999	6801	18	23
80342	0.999	10395	18	2
80342	0.998	22948	18	18
80342	0.998	10694	18	17
80342	0.998	5519	18	18
80342	0.999	25843	18	22
80342	0.998	6950	18	20
80342	0.999	5518	18	32
80342	0.999	10494	18	13
80342	0.999	11235	18	14
80342	0.999	29966	18	22
80342	0.998	7203	18	18
80342	0.999	80143	18	15
80342	0.999	8428	18	20
80342	0.999	29888	18	22
80342	0.998	51765	18	12
80342	0.998	6788	18	21
80342	0.999	5515	18	47
10048	0.959	4233	4	25
10048	0.955	54737	4	1
10048	0.96	3897	4	12
10048	0.959	6654	4	34
920	0.951	3937	40	24
920	0.981	952	40	3
920	0.95	3732	40	4
920	0.971	969	40	1
920	0.977	51561	40	11
920	0.985	3458	40	24
920	0.954	1236	40	11
920	0.966	975	40	6
920	0.976	941	40	5
920	0.951	7297	40	21
920	0.967	7535	40	14
920	0.986	960	40	21
920	0.986	925	40	14
920	0.995	1234	40	28
920	0.953	7409	40	41
920	0.983	3603	40	1
920	0.95	2353	40	46
920	0.962	940	40	8
920	0.963	926	40	4
920	0.985	942	40	11
920	0.999	3932	40	61
920	0.984	4602	40	21
920	0.996	7316	40	322
920	0.998	3123	40	2
920	0.968	916	40	14
920	0.951	919	40	19
920	0.994	5788	40	9
920	0.954	356	40	17
920	0.963	2534	40	83
920	0.963	8945	40	24
920	0.968	959	40	4
920	0.953	2833	40	10
920	0.982	6850	40	51
920	0.98	50943	40	6
920	0.988	3559	40	14
920	0.958	3717	40	71
920	0.971	3119	40	2
920	0.995	7852	40	19
920	0.95	3702	40	15
920	0.966	3586	40	8
5536	0.987	3320	2	31
5536	0.953	4217	2	16
4830	0.95	6240	4	8
4830	0.966	1841	4	11
4830	0.959	5315	4	33
4830	0.966	1503	4	6
2067	0.956	5424	11	25
2067	0.973	2965	11	19
2067	0.982	7508	11	14
2067	0.963	2071	11	21
2067	0.958	1642	11	25
2067	0.999	2072	11	12
2067	0.957	5430	11	58
2067	0.996	2073	11	13
2067	0.976	5887	11	14
2067	0.999	7507	11	12
2067	0.985	2068	11	16
50865	0.988	2359	1	2
1355	0.989	1352	1	2
6344	0.999	6343	5	12
6344	0.981	116	5	10
6344	0.955	5741	5	15
6344	0.954	796	5	18
6344	0.953	2641	5	26
10928	0.999	5899	3	2
10928	0.968	5879	3	78
11136	0.988	6519	1	1
2554	0.962	2562	1	1
9821	0.972	6598	5	12
9821	0.972	7157	5	172
9821	0.997	9776	5	5
9821	0.996	8408	5	3
9821	0.995	9706	5	2
11215	0.978	5576	1	5
9091	0.99	5283	5	6
9091	0.978	9487	5	3
9091	0.99	5279	5	5
9091	0.99	5277	5	6
9091	0.98	51227	5	5
54480	0.998	5394	1	19
11345	0.996	10533	1	6
5009	0.999	445	6	8
5009	0.979	384	6	4
5009	0.996	435	6	9
5009	0.987	383	6	4
5009	0.998	4942	6	8
5009	0.998	1373	6	5
5685	0.952	5704	35	31
5685	0.974	5714	35	34
5685	0.999	5684	35	35
